序號,時間資訊,事件描述（代表性經文開頭 + 精煉直述事件）,地理資訊,出處,備註,耶穌基督後期聖徒教會關聯
54,出埃及第 1 年 6 月-12 月/摩西 80 歲 / 亞倫 83 歲 / 約書亞 40 歲,「比撒列和亞何利亞伯...便作工。」心裡有智慧的甘心奉獻，動工建造會幕。,西乃山 (山下),出 36:1-39:31,比撒列意為「在神的陰下」；百姓送來的禮物富富有餘 (出 36:5-7)。,教約 124:37-39 記載會幕與聖殿器具之建造皆源於至高者之直接啟示定例。
55,出埃及第 2 年 1 月 1 日/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「摩西看見一切的工都做成了，就給他們祝福。」完成各樣物件的檢查與驗收。,西乃山 (山下),出 39:32-43,"這工是照耶和華所吩咐摩西的 (出 39:32, 42)。",教約 124:39 重新確立完成了各樣工的奉獻與祝福秩序。
56,出埃及第 2 年 1 月 1 日/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「第二年正月初一日，帳幕就立起來。」雲彩遮蓋會幕，耶和華的榮光充滿帳幕。,西乃山 (山下),出 40:1-38,日間雲彩在帳幕以上，夜間雲中有火 (出 40:38)；榮光充滿聖殿 (王上 8:10-11)。,教約 124:37-38 說明帳幕立起與神聖榮光充滿，是神願意與世人同在之物理印證。
57,出埃及第 2 年 1 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「耶和華從會幕中呼叫摩西。」頒布五大祭禮與生活條例，建立聖潔敬拜的秩序。,西乃山 (山下),利 1:1-7:38,祭意為「上升」；獻祭者要按手在供物頭上 (利 1:4)；基督把自己獻為供物 (弗 5:2)。,教約 84:19-21 記載神聖祭禮之律法與秩序是在更高之聖職條例中執行的基礎。
58,出埃及第 2 年 1 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「摩西將亞倫和他兒子帶到會幕門口。」為亞倫及其子孫行承接聖職之禮，膏抹大祭司。,西乃山 (山下),利 8:1-36,膏油流到亞倫的鬍鬚 (詩 133:2)；亞倫蒙召作大祭司，不是自取的 (來 5:4)。,教約 84:25-27 記載亞倫及子孫承接亞倫聖職與行膏抹之神聖定例。
59,出埃及第 2 年 1 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「有火從耶和華面前出來，在壇上燒盡了燔祭。」神顯榮光，正式印證祭司職任與供獻。,西乃山 (山下),利 9:1-24,眾民看見火降下，就都歡呼，俯伏在地 (利 9:24)。,教約 132:7 記載神聖祭壇之火與印證，必須由神所認可之權柄與方式顯明。
60,出埃及第 2 年 1 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「亞倫的兒子拿答、亞比戶...獻上凡火。」兩人死在神面前，神嚴誡親近祂的人要顯為聖。,西乃山 (山下),利 10:1-20,拿答意為「慷慨」，亞比戶意為「他是我的父」；凡火意為「未經授權的火」。,教約 132:18 嚴誡凡未經神授權之凡火與不當權柄，在神聖事工中必不蒙悅納且帶來靈性死亡。
61,出埃及第 2 年 1-2 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「你們要聖潔，因為我是聖潔的。」頒布潔淨條例。包含產後婦女潔淨例。,西乃山 (山下),利 11:1-15:33,分別潔淨與不潔淨 (利 11:47)；在一切所行的事上也要聖潔 (彼前 1:15-16)；產後例見於耶穌出生 (路 2:22)。,教約 11:13-14 說明百姓生活條例與聖潔道德規範，是保持聖靈同在與身體潔淨之物理法理。
62,出埃及第 2 年 1-2 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「亞倫要為自己和家屬獻贖罪祭。」頒布贖罪日條例，建立全國年度除罪機制。,西乃山 (山下),利 16:1-34,贖罪祭意為「遮蓋」；阿撒瀉勒意為「完全移去」；基督一次獻上成了贖罪的事 (來 9:12)。,教約 133:4-5 百姓年度除罪機制預表最終藉著主之救贖達到完全的潔淨。
63,出埃及第 2 年 2 月 1 日/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「第一次數點二十歲以上男丁。」神命摩西數點能打仗者，共六十萬三千五百五十名，利未人不列其中。,西乃山,民 1:1-54,；兵籍調查限「二十歲以外，能出去打仗的」 (民 1:3)；以色列（Yisrael）釋義「與神摔跤者」或「神統治」 (創 32:28)；總數應驗神應許亞伯拉罕後裔如星之繁多 (創 15:5)。,教約 136:1-3 記載神子民在曠野西遷之軍隊編制，與數點男丁、按旗號安營之秩序完全呼應。
64,出埃及第 2 年 2 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「頒佈：疑恨與補償之法」在西乃山頒佈關於對待不忠與賠償的司法程序。,西乃山,民 5:5-31,法源：民 5:5-31；關聯：淫婦將被石頭打死 (約 8:1-11)。,教約 42:87-88 記載在現代教會中對不忠、損害與補償的司法審判程序與律法界線。
65,出埃及第 2 年 2 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「頒佈：拿細耳人條例」在西乃山確立離俗分別為聖的身份規範。,西乃山,民 6:1-21,法源：民 6:1-21；關聯：參孫 (士 13:5)、撒母耳 (撒上 1:11) 與施洗約翰 (路 1:15) 皆為拿細耳人。,教約 132:1 提及古人離俗、分別為聖與履行特定誓約之拿細耳人條例法理。
66,出埃及第 2 年 2 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「以色列人要照旗號安營。」神定規十二支派環繞會幕安營，東西南北各有領頭旗號，利未人在內環。,西乃山,民 2:1-34,安營法理為「對著會幕的四圍安營」 (民 2:2)；四方旗號預表基路伯（Cherubim）之四臉 (結 1:10) 與啟示錄四活物 (啟 4:6-8)。,教約 136:2 記載以色列民按旗號與宗族在會幕周圍嚴密安營之大軍秩序。
67,出埃及第 2 年 2 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「利未支派代替首生的歸神。」分派革順、哥轄、米拉利子孫各負搬運會幕職責，哥轄扛抬聖物。,西乃山,民 3:1-4:49,"利未（Levi）釋義「聯合」 (創 29:34)；哥轄（Kohath）釋義「集結」；法理嚴禁「摸聖物」與「觀看聖所」 (民 4:15, 20)；此禁令違背應驗於伯示麥人擅觀約櫃遭擊殺 (撒上 6:19) 及烏撒手扶約櫃被擊殺 (撒下 6:6-7)；大衛吃陳設餅亦涉及聖物法理之例外應用 (太 12:3-4)。；搬運前需先由祭司用「遮掩櫃的幔子」蒙蓋，再蒙上「海狗皮」，最外層鋪上「純藍色的毯子」並穿槓；此三重防護法理旨在防止非祭司職者直視或觸摸聖物致死 (民 4:5-6)；違背此規範應驗於伯示麥人遭擊殺 (撒上 6:19) 與烏撒事件 (撒下 6:6-7)。",教約 84:29-31 記載利未子孫分派承當搬運與管理神聖聖物之職責分配法理。
68,出埃及第 2 年 2 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「首領連十二日輪流獻供物。」十二支派首領慶賀奉獻聖壇，所獻供物相同且極其厚重。,加低斯巴尼亞,民 7:1-89,每日一首領獻祭共十二日 (民 7:11)；此獻祭法理應用於約瑟、馬利亞按律法帶耶穌進殿獻祭 (路 2:22-24)；終結於摩西進會幕聽見二基路伯中間之發聲 (民 7:89)。,教約 124:39 記載奉獻聖壇與首領厚重供物，是建立神國度地基之實體表現。
69,出埃及第 2 年 2 月/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「補守逾越節的條例。」民依神命守逾越節，因不潔者可於二月補守，顯神法外開恩。,西乃山,民 9:1-14,"逾越節（Passover）釋義「越過」 (出 12:11)；補守法規應用於希西家王時期之宗教復興 (代下 30:1-3, 15)。",摩賽 5:5-7 記載立約子民守逾越節與補守條例，互為紀念救贖之聖約印證。
70,出埃及第 2 年 2 月 20 日/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「雲彩收起離開西乃。」以色列民按營號起行，從西乃的曠野起行，安營在基博羅‧哈他瓦；摩西邀何巴指路，約櫃在前尋安歇處；雲彩收起起行，安營在基博羅‧哈他瓦。,西乃山 → 基博羅‧哈他瓦 (約 40km),民 10:11-36; 33:16,"正式離開西乃，進入巴蘭曠野（含：基博羅‧哈他瓦、哈洗錄、律瑪，律瑪即加低斯附近，加低斯位於尋的曠野 and 巴蘭的曠野之間）。; 起行法理為「雲彩從帳幕收上...以色列人就起行」 (民 9:17)；巴蘭（Paran）釋義「洞穴之地」 (創 21:21)；約櫃在前「尋找安歇的地方」 (民 10:33)。；起行法理包含銀號之運用；兩隻銀號由祭司吹響以招聚會眾或令各營起行；在戰時與節期中作為「在神面前得蒙紀念」之憑據；預表基督降臨之號筒聲 (民 10:2, 8-10；帖前 4:16)。",阿 37:40-41 說明以色列民跟隨雲彩與約櫃引領起行，如同利阿賀拿引導先祖，按信心向前進發。
71,出埃及第 2 年/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「百姓發怨言，耶和華聽見了就發怒。」民因路遠發怨，神降火焚燒營邊，摩西祈求火熄，地名他備拉，意為「火焚」。,他備拉 (基博羅‧哈他瓦),民 11:1-3,此地與基博羅‧哈他瓦地理位置重合。; 他備拉（Taberah）釋義「火焚」 (民 11:3)；此審判邏輯與後來「發怨言遭火蛇」一致 (民 21:4-6)；詩篇記載神「在他們中間發火」 (詩 78:21)。；神聽見怨言就發怒；使火在他們中間發作 (詩 78:21)。,阿 37:41 說明百姓因路遠發怨言，導致神聖之火焚燒營邊之管教與管訓。
72,出埃及第 2 年/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「誰給我們肉吃呢？」民厭嗎哪而貪慾吃肉，神降鵪鶉由海面颳來，民因貪心暴食遭災，地名基博羅‧哈他瓦，意為「貪慾之墓」。,基博羅‧哈他瓦,民 11:4-35,此地與他備拉地理位置重合。; 基博羅．哈他瓦（Kibroth-hattaavah）釋義「貪欲之塚」 (民 11:34)；神降災過程詳述於《詩篇》 (詩 78:26-31)；此事件作為「不可貪戀惡事」之鑒戒 (林前 10:6)。；神使東風颳在天空；降肉像塵土之多；審判發生於「肉還在牙齒之間」 (詩 78:26-31)；作為「不可貪戀惡事」之鑒戒 (林前 10:6)。,阿 37:42 記載民因貪慾暴食嗎哪之外的肉類，心思偏離神而遭災，形成貪慾之墓。
73,出埃及第 2 年/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,從基博羅‧哈他瓦起行，安營在哈洗錄。,基博羅‧哈他瓦 → 哈洗錄 (約 30km),民 33:17,哈洗錄（Hazeroth）釋義「院子」或「營寨」 (民 11:35)；為巴蘭曠野中之一站 (民 12:16)。,教約 136:22 記載起行安營每一步骤皆需遵奉主之命令引導。
74,出埃及第 2 年 2 月 20 日以後/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,「難道耶和華單與摩西說話嗎？」米利暗與亞倫因摩西娶古實女子而毀謗其權威，米利暗長大痲瘋變關營外七天，摩西哀求神醫治。,哈洗錄,民 12:1-16,米利暗因病被關營外七天； 七天 (民 12:1-16); 米利暗（Miriam）釋義「反叛」或「苦澀」；神證實與摩西「面對面說話」 (民 12:8)；毀謗權柄受審事件記載於《申命記》作為警示 (申 24:9)。,摩西 1:18-22 記載米利暗與亞倫毀謗摩西權威而遭長大痲瘋，顯明毀謗神所立之先知必承當公義審判。
75,出埃及第 2 年/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲,從哈洗錄起行，安營在律瑪。,哈洗錄 → 律瑪 (約 80km),民 33:18,律瑪（Rithmah）釋義「羅騰樹」 (民 33:18)；該地植被，羅騰樹同見於以利亞求死記載 (王上 19:4)。,教約 136:23 記載在每一次起行中，神差遣僕人安營在應許之路上。
76,出埃及第 2 年夏季 (約 4-5 月間)/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲 / 迦勒 40 歲,「你們去窺探那地如何。」摩西遣十二探子入迦南，十人回報惡信致民心消化欲回埃及，唯約書亞與迦勒壯志宣信。,加低斯巴尼亞 (巴蘭曠野),民 13:1-14:10,那時正是葡萄初熟的時候 (民 13:20)。迦勒自述「那時我正 40 歲」（書 14:7）。; 迦勒（Caleb）釋義「全心」或「犬」；約書亞（Joshua）釋義「耶和華是拯救」；應驗於約書亞領民入迦南 (書 3:17)；預表進入神應許之安息 (來 4:8-9)。,摩賽 2:36-37 記載探子回報惡信致民心消化，百姓拒絕信賴先知與神之應許，導致靈性漂流與退後。
77,出埃及第 2 年/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲 / 迦勒 40 歲,「你們的屍首必倒在這曠野。」神因民不信，罰其在曠野漂流四十年，凡二十歲以上發怨言者不得入迦南，擅自攻打原民者大敗。,加低斯巴尼亞 (巴蘭曠野),民 14:11-45,加低斯巴尼亞（Kadesh-barnea）釋義「神聖漂流者之地」；刑罰法理為「一日頂一年」 (民 14:34)；此漂流歷史詳述於《詩篇》 (詩 78:32-41)；不信者不得入安息之鑒戒 (來 3:17-19)。；儘管看見神蹟，民仍舊犯罪不信；故神使他們的日子在虛空中度過 (詩 78:32-33)；不信者不得入安息之鑒戒 (來 3:17-19)。,阿 34:34-35 記載發怨言不信者被罰在曠野漂流四十年，屍首倒在曠野，無法進入安息。
78,出埃及第 2 年至第 40 年間/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲 / 迦勒 40 歲,從律瑪起行，安營在立門‧帕列。,律瑪 → 立門‧帕列 (約 25km),民 33:19,立門‧帕列（Rimmon-perez）釋義「石榴的衝破」 (民 33:19)。,教約 136:24 記載在曠野各站安營時，必須完全依循上天之命令與尺度。
79,出埃及第 2 年至第 40 年間/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲 / 迦勒 40 歲,「有一個人在安息日撿柴。」在曠野時有人違誡撿柴，神命全眾在營外用石頭將其打死，確立安息日之嚴正性。,立門‧帕列,民 15:32-36,安息日罰則執行「凡在安息日作工的，必被治死」之法規 (出 31:14-15)；與新約安息日主權辯論形成對照 (太 12:1-8)。,教約 59:9-10 重新確立安息日之嚴正性，凡違背聖日者在法理上等同於切斷與聖約之聯繫。
80,出埃及第 2 年至第 40 年間/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲 / 迦勒 40 歲,從立門‧帕列起行，安營在立拿。,立門‧帕列 → 立拿 (約 15km),民 33:20,立拿（Libnah）釋義「潔白」 (民 33:20)。,教約 136:21 記載聖徒在旅途中不可停止前進，每一步皆由安營地向新站推進。
81,出埃及第 2 年至第 40 年間/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲 / 迦勒 40 歲,「可拉聚集首領攻擊摩西亞倫。」可拉黨叛亂覬覦祭司職，神使地開口吞滅其家室，另有火焚毀獻香之首領二百五十人。,立拿,民 16:1-50,"可拉（Korah）釋義「禿頭」；地裂吞滅法理應驗 (民 16:31-33)；可拉後裔未滅絕應驗於聖殿歌唱職事 (民 26:11, 詩 42:標題)；作為「背叛權柄」之末世鑒戒 (猶 1:11)。；可拉黨所用之銅火鼎被錘成薄片包在祭壇上；作為對以色列人的「記號」與警告；此法律限制非亞倫後裔不可近前燒香 (民 16:37-40)；後應用於審判烏西雅王強行燒香事件 (代下 26:16-21)。",教約 121:34-36 說明可拉黨覬覦祭司職權、聚集攻擊先知，因濫用肉體私慾而遭地裂吞滅之嚴厲審判。
82,出埃及第 2 年至第 40 年間/摩西 81 歲 / 亞倫 84 歲 / 約書亞 41 歲 / 迦勒 40 歲,「看哪，亞倫的杖發了芽。」神命各首領取杖放法櫃前，亞倫之杖竟發芽開花結杏，以此止息民對祭司權柄的爭鬧。,立拿 → 勒撒 (約 20km),民 17:1-13,；亞倫（Aharon）釋義「山中之光」；發芽之杖與嗎哪、法版同存於約櫃內 (來 9:4)；亞倫之杖發芽、生苞、開花、結熟杏；其原文杏（Shaqed）字根具「留意、守候」之意；與耶利米所見杏樹枝異象呼應；象徵神留意保守其話語成就 (民 17:8；耶 1:11-12)。,教約 84:17-18 記載亞倫之杖發芽開花，是上天用物理神蹟印證聖職權柄正統性之硬證據。
83,出埃及第 2-3 年間/摩西 81-82 歲 / 亞倫 84-85 歲 / 約書亞 41-42 歲,「頒佈：祭司職分與聖物份量法」確立祭司事奉的應得份量與神聖界線。,加低斯巴尼亞,民 18:8-19,法源：民 18:8-19；關聯：以利的孩子強搶尚未獻祭的脂油致遭咒詛 (撒上 2:12-17)。,教約 84:32-34 記載祭司職分的事奉應得份量、供物與神聖事工的事奉界線。
84,出埃及第 2-3 年間/摩西 81-82 歲 / 亞倫 84-85 歲 / 約書亞 41-42 歲,「頒佈：頭生子贖回法」確立凡頭生的必歸給主並需付贖銀的法理。,加低斯巴尼亞,民 18:15-16,法源：民 18:15-16；關聯：約瑟瑪利亞按律法帶嬰孩耶穌進殿奉獻贖回 (路 2:22-24)。,教約 22:1-3 確立首生子贖回法理在律法中的永恆立約地位。
85,出埃及第 2-3 年間/摩西 81-82 歲 / 亞倫 84-85 歲 / 約書亞 41-42 歲,「頒佈：紅母牛灰潔淨禮」確立藉由紅母牛灰除去接觸死亡污穢的潔淨法。,加低斯巴尼亞,民 19:1-22,法源：民 19:1-22；關聯：基督的血洗淨良心除去死行 (來 9:13-14)。,教約 124:38-39 說明紅母牛灰之潔淨禮儀，與後期時代洗禮、聖殿除罪潔淨之法理具有內在一致性。
86,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從立拿起行，安營在勒撒。,勒撒,民 33:21,"勒撒（Hebrew: רִסָּה, Rissah）釋義「露水」或「廢墟」。",
87,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從勒撒起行，安營在基希拉他。,勒撒 → 基希拉他 (約 18km),民 33:22,"基希拉他（Hebrew: קְהֵלָתָה, Kehelathah）釋義「集會地」。",
88,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從基希拉他起行，安營在沙斐山。,基希拉他 → 沙斐山 (約 22km),民 33:23,"沙斐山（Hebrew: הַר־שָׁפֶר, Mount Shepher）釋義「壯麗之山」。",
89,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從沙斐山起行，安營在哈拉大。,沙斐山 → 哈拉大 (約 15km),民 33:24,"哈拉大（Hebrew: חֲרָדָה, Haradah）釋義「恐懼」。",
90,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從哈拉大起行，安營在瑪吉希錄。,哈拉大 → 瑪吉希錄 (約 25km),民 33:25,"瑪吉希錄（Hebrew: מַקְהֵלֹת, Makheloth）釋義「聚會處」。",
91,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從瑪吉希錄起行，安營在他哈。,瑪吉希錄 → 他哈 (約 12km),民 33:26,"他哈（Hebrew: תַּחַת, Tahath）釋義「在...之下」。",
92,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從他哈起行，安營在他拉。,他哈 → 他拉 (約 10km),民 33:27,"他拉（Hebrew: תֶּרַח, Terah）釋義「車站」或「轉向」。",
93,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從他拉起行，安營在密加。,他拉 → 密加 (約 20km),民 33:28,"密加（Hebrew: מִ特ְקָה, Mithcah）釋義「甜美」。",
94,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從密加起行，安營在哈摩拿。,密加 → 哈摩拿 (約 15km),民 33:29,"哈摩拿（Hebrew: חַשְׁמֹנָה, Hashmonah）釋義「肥沃」。",
95,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從哈摩拿起行，安營在摩西錄。,哈摩拿 → 摩西錄 (約 22km),民 33:30,"摩西錄（Hebrew: מֹסֵרוֹת, Moseroth）釋義「束縛」。亞倫壽終埋葬地（申 10:6）。",
96,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從摩西錄起行，安營在比尼‧亞干。,摩西錄 → 比尼‧亞干 (約 18km),民 33:31,"比尼‧亞干（Hebrew: בְּנֵי יַעֲקָן, Bene-jaakan）釋義「亞干之子」。",
97,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從比尼‧亞干起行，安營在哈‧哈及甲。,比尼‧亞干 → 哈‧哈及甲 (約 12km),民 33:32,"哈‧哈及甲（Hebrew: חֹר הַגִּדְגָּד, Hor-haggidgad）釋義「切割之山」。",
98,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從哈‧哈及甲起行，安營在約巴他。,哈‧哈及甲 → 約巴他 (約 25km),民 33:33,"約巴他（Hebrew: יָטְבָתָה, Jotbathah）釋義「美好」；地理特徵為「有河溪之地」（申 10:7）。",
99,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從約巴他起行，安營在阿博拿。,約巴他 → 阿博拿 (約 20km),民 33:34,"阿博拿（Hebrew: עַבְרֹנָה, Abronah）釋義「過渡」或「渡口」。",
100,出埃及第 2 年至第 40 年間/摩西 81-119 歲 / 亞倫 84-122 歲,從阿博拿起行，安營在以旬‧迦別。,阿博拿 → 以旬‧迦別 (約 35km),民 33:35,"以旬‧迦別（Hebrew: עֶצְיוֹן גֶּבֶ營, Ezion-geber）釋義「巨人的背脊」。",
101,出埃及第 40 年 1 月/摩西 119 歲 / 亞倫 122 歲 / 約書亞 79 歲 / 迦勒 78 歲,從以旬‧迦別起行，安營在尋的曠野，就是加低斯巴尼亞；米利暗死葬於此。民無水爭鬧，摩西激憤擊石，神判其不得入迦南。,以旬‧迦別 → 加低斯巴尼亞 (約 120km),民 33:36; 20:1-13,"加低斯（Hebrew: קָדֵשׁ, Kadesh）。民 20:12「因為你們不信我，不在以色列人眼前尊我為聖，所以你們必不能領這會眾進我所賜給他們的地。」林前 10:4「那磐石就是基督。」",教約 84:23-25「摩西在曠野中努力聖化百姓，好使他們能看見神的面；但他們硬心……因此，主在烈怒中從他們中間取走更高聖職。」百姓硬心導致權柄被收回。
102,出埃及第 40 年/摩西 119 歲 / 亞倫 122 歲 / 約書亞 79 歲 / 迦勒 78 歲,從加低斯起行，安營在何珥山，在以東地的邊界。,加低斯巴尼亞 → 何珥山 (約 60km),民 33:37,"何珥山（Hebrew: הֹר הָהָר, Mount Hor）釋義「山中之山」。",
103,出埃及第 40 年 5 月 1 日/摩西 119 歲 / 亞倫 123 歲 / 約書亞 79 歲 / 迦勒 78 歲,摩西領亞倫與以利亞撒上何珥山，亞倫斷氣前將聖衣傳予其子以利亞撒，以色列全家哀哭三十天。,何珥山,民 20:22-29; 33:38,"亞倫死於五月初一日，享壽 123 歲。亞倫（Hebrew: אַהֲרֹن, Aharon）釋義「山中之光」。來 7:23「那些成為祭司的，數目本來多，是因為有死阻隔不能長久。」實體聖衣轉移交代了屬地大祭司職任的更換。",教約 84:18「這聖職……是沒有生之始，也沒有命之終的。」教約 42:11「除非經由合法的權柄，……否則任何人都不允許前去傳教或建立我的教會。」此處記錄聖職實體交接秩序。
104,出埃及第 40 年/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,住南地的迦南人亞拉得王攻擊以色列人，民向神發願後大勝，毀滅其城，地名何珥瑪。,何珥瑪 (南地),民 21:1-3,"何珥瑪（Hebrew: חָרְמָה, Hormah）釋義「毀滅」或「聖別歸神」。民向神起誓奉獻其城，蒙垂聽而獲勝。",
105,出埃及第 40 年/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,以色列人從何珥山起行，安營在撒摩拿。,何珥山 → 撒摩拿 (約 150km),民 33:41,"撒摩拿（Hebrew: צַלְมֹנָה, Zalmonah）釋義「陰涼」或「影像」。",
106,出埃及第 40 年 6 月以後/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,民因路難行怨神及摩西，神降火蛇咬死多人，摩西掛青銅蛇於杆上，凡仰望者皆得醫治。,撒摩拿,民 21:4-9,約 3:14-15「摩西在曠野怎樣舉蛇，人子也必照樣被舉起來，叫一切信他的都得永生。」青銅蛇為基督受難十架、直視得活之據。,阿 33:19-22「只要他們看，他們就能活；……許多人因為這路途容易，竟不願看。」阿 37:46「不要因為路途容易而懶惰。」尼尼一 17:41「他預備了一條道路，只要他們用眼睛看，就能痊癒。」
107,出埃及第 40 年/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,從撒摩拿起行，安營在普嫩。,撒摩拿 → 普嫩 (約 30km),民 33:42,"普嫩（Hebrew: פוּנֹن, Punon）釋義「礦石坑」。此地為大型銅礦冶煉遺址，地理上銜接前站掛青銅蛇之物質材料。",
108,出埃及第 40 年/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,從普嫩起行，安營在阿博。,普嫩 → 阿博 (約 35km),民 33:43,"阿博（Hebrew: אֹבֹת, Oboth）釋義 possessions 或「皮水袋」或「巫覡」。",
109,出埃及第 40 年/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,從阿博起行，安營在以耶‧亞巴琳，在摩押的邊界。,阿博 → 以耶‧亞巴琳 (約 40km),民 33:44,"以耶‧亞巴琳（Hebrew: עִיֵּי הָעֲבָרִים, Iye-abarim）釋義「亞巴琳的荒堆」。",
110,出埃及第 40 年/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,亞摩利王西宏不容民經過並出兵攻擊，民在雅渣擊敗之，奪取其城邑地土。,雅渣 (亞摩利地),民 21:21-32,"雅渣（Hebrew: יַהַץ, Jahaz）釋義「爭戰之地」。詩 136:19「殺了亞摩利王西宏，因他的慈愛永遠長存。」",
111,出埃及第 40 年/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,巴珊王噩率眾出擊，民在以得來擊殺噩與其全軍，奪取巴珊全地。,以得來 (巴珊地),民 21:33-35,"以得來（Hebrew: אֶדְרֶעִי, Edrei）釋義「強壯」。詩 136:20「又殺了巴珊王噩，因他的慈愛永遠長存。」",
112,出埃及第 40 年/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,從以耶‧亞巴琳起行，安營在底本‧迦得。,以耶‧亞巴琳 → 底本‧迦得 (約 15km),民 33:45,"底本‧迦得（Hebrew: דִּיבֹן גָּד, Dibon-gad）釋義「憔悴之幸運」。",
113,出埃及第 40 年後期/摩西 120 歲,在摩押平原處理西羅非哈女兒因家族無男子而提出之產業繼承請求。,摩押平原,民 27:1-11,民 27:4「為什麼因我們父親沒有兒子，他的名就從他族中除掉呢？求你們在我們父親的弟兄中分給我們產業。」奠定家族地業不可流失之法。,教約 25:2-4「妳是我女兒……妳若忠信，行步正直，我就保全妳的生命，並在以色列中分給妳產業。」女性在神前享有合法神聖立約之永恆產業承接權。
114,出埃及第 40 年後期/摩西 120 歲,頒佈許願與還願法規，規範向耶和華許願時口頭誓言具備法律契約效力。,摩押平原,民 30:1-16,民 30:2「人若向耶和華許願或起誓，要約束自己，就不可食言，必要照口中所出的一切話行。」口頭宣誓具備神聖不可撤銷性。,教約 82:10「我，主，在你們行我所說的話時，是被約束的；但是你們不行我所說的話時，你們就得不到應許。」天條聖約之雙向約束。
115,出埃及第 40 年後期/摩西 120 歲,完善同支派通婚保地業之繼承法，確保西羅非哈女兒地業留在瑪拿西支派內。,摩押平原,民 36:1-12,民 36:7「這樣，以色列人的產業就不從這支派流到那支派，因為以色列人各要守住他祖宗支派的產業。」避免跨支派造成地業流失與破碎化。,教約 132:19「這約是合法的且有效的，不論在世上或世外……經由按手與指定，都在我的班次和秩序中。」永恆基業必須在合法班次秩序內傳承。
116,出埃及第 40 年/摩西 119 歲 / 約書亞 79 歲 / 迦勒 78 歲,從底本‧迦得起行，安營在亞門‧低比拉太音。,底本‧迦得 → 亞門‧低比拉太音 (約 10km),民 33:46,亞門‧低比拉太音（Almon-diblathaim）釋義「藏匿的無花果餅」 (民 33:46)。,
